id;startdate;enddate;status;employee;cause;startdatetype;enddatetype;duration;type;comments;document
2590;2020-02-07;2020-02-07;3;3;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-07""}]}";
2591;2020-02-08;2020-02-08;3;3;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-08""}]}";
2592;2020-02-11;2020-02-11;3;34;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-11""}]}";
2593;2020-02-12;2020-02-12;3;5;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-12""}]}";
2594;2020-02-13;2020-02-13;3;11;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-13""}]}";
2595;2020-02-14;2020-02-14;3;3;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-14""}]}";
2596;2020-02-14;2020-02-14;3;11;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-14""}]}";
2597;2020-02-14;2020-02-14;3;36;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-14""}]}";
2598;2020-02-14;2020-02-14;3;45;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-14""}]}";
2599;2020-02-17;2020-02-17;3;7;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-17""}]}";
2600;2020-02-18;2020-02-18;3;5;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-18""}]}";
2601;2020-02-18;2020-02-18;3;7;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-18""}]}";
2602;2020-02-18;2020-02-18;3;20;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-18""}]}";
2603;2020-02-19;2020-02-19;3;20;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-19""}]}";
2604;2020-02-19;2020-02-19;3;22;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-19""}]}";
2605;2020-02-19;2020-02-19;3;23;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-19""}]}";
2606;2020-02-20;2020-02-20;3;37;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-20""}]}";
2607;2020-02-21;2020-02-21;3;37;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-21""}]}";
2608;2020-02-24;2020-02-24;3;37;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-24""}]}";
2609;2020-02-25;2020-02-25;3;37;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-25""}]}";
2610;2020-02-25;2020-02-25;3;39;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-25""}]}";
2611;2020-02-28;2020-02-28;3;39;;Morning;Morning;0,5;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-28""}]}";
2612;2020-02-28;2020-02-28;3;45;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-02-28""}]}";
2613;2020-03-02;2020-05-31;3;23;;Morning;Afternoon;90;2;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-02""}]}";
2614;2020-03-02;2020-03-02;3;39;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-02""}]}";
2615;2020-03-02;2020-03-02;3;45;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-02""}]}";
2616;2020-03-03;2020-03-03;3;45;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-03""}]}";
2617;2020-03-05;2020-03-05;3;55;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-05""}]}";
2618;2020-03-06;2020-03-06;3;55;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-06""}]}";
2619;2020-03-09;2020-03-09;3;37;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-09""}]}";
2620;2020-03-09;2020-03-09;3;55;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-09""}]}";
2621;2020-03-10;2020-03-10;3;37;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-10""}]}";
2622;2020-03-10;2020-03-10;3;55;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-10""}]}";
2623;2020-03-11;2020-03-11;3;55;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-11""}]}";
2624;2020-03-24;2020-03-24;3;28;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-03-24""}]}";
2625;2020-06-03;2020-06-03;3;23;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-06-03""}]}";
2626;2020-06-04;2020-06-04;3;23;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-06-04""}]}";
2627;2020-06-05;2020-06-05;3;23;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-06-05""}]}";
