id;startdate;enddate;status;employee;cause;startdatetype;enddatetype;duration;type;comments;document
1258;2020-01-17;2020-01-17;3;14;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-17""}]}";
1259;2020-01-20;2020-01-20;3;14;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-20""}]}";
1260;2020-01-20;2020-01-20;3;29;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-20""}]}";
1261;2020-01-20;2020-01-20;3;30;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-20""}]}";
1262;2020-01-20;2020-01-20;3;53;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-20""}]}";
1263;2020-01-21;2020-01-21;3;16;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-21""}]}";
1264;2020-01-22;2020-01-22;3;8;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
1265;2020-01-22;2020-01-22;3;15;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
1266;2020-01-22;2020-01-22;3;27;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
1267;2020-01-22;2020-01-22;3;32;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
1268;2020-01-22;2020-01-22;3;42;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
1269;2020-01-22;2020-01-22;3;52;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
1270;2020-01-22;2020-01-22;3;51;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
1271;2020-01-23;2020-01-23;3;15;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
1272;2020-01-23;2020-01-23;3;27;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
1273;2020-01-23;2020-01-23;3;29;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
1274;2020-01-23;2020-01-23;3;33;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
1275;2020-01-23;2020-01-23;3;42;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
1276;2020-01-23;2020-01-23;3;52;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
1277;2020-01-23;2020-01-23;3;51;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
1278;2020-01-24;2020-01-24;3;15;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-24""}]}";
1279;2020-01-24;2020-01-24;3;9;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-24""}]}";
1280;2020-01-24;2020-01-24;3;26;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-24""}]}";
1281;2020-01-24;2020-01-24;3;53;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-24""}]}";
1282;2020-01-27;2020-01-27;3;15;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
1283;2020-01-27;2020-01-27;3;9;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
1284;2020-01-27;2020-01-27;3;19;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
1285;2020-01-27;2020-01-27;3;33;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
1286;2020-01-27;2020-01-27;3;35;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
1287;2020-01-28;2020-01-28;3;9;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-28""}]}";
1288;2020-01-28;2020-01-28;3;19;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-28""}]}";
1289;2020-01-28;2020-01-28;3;35;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-28""}]}";
1290;2020-01-29;2020-01-29;3;9;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-29""}]}";
1291;2020-01-29;2020-01-29;3;27;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-29""}]}";
1292;2020-01-29;2020-01-29;3;32;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-29""}]}";
1293;2020-01-29;2020-01-29;3;51;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-29""}]}";
1294;2020-01-30;2020-01-30;3;9;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-30""}]}";
1295;2020-01-30;2020-01-30;3;52;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-30""}]}";
1296;2020-01-31;2020-01-31;3;9;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-31""}]}";
1297;2020-01-31;2020-01-31;3;30;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-31""}]}";
